Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
41, CENT, Central Garden & Pet Company, Consumer Defensive, Packaged Foods, USA, 2.87B, 18.73, 2.49, 0.94, 2.55, 15.96, 36.90%, 12.50%, 7.50%, 70.20%, 33.00%, 6.50%, 14.70%, 9.20%, 2.60, 1.40, 0.84, 0.84, 29.50%, 8.20%, 5.30%, -3.43%, 15.42%, 36.47%, 49.71%, 42.27%, 2.88%
43, CHD, Church & Dwight Co. Inc., Consumer Defensive, Household & Personal Products, USA, 20.92B, 26.25, 3.43, 4.21, 6.54, 41.40, 27.60%, 7.54%, 8.10%, -3.50%, 6.30%, 10.80%, 25.00%, 16.20%, 0.90, 0.40, 0.56, 0.65, 44.90%, 20.50%, 15.60%, -0.29%, 8.95%, 0.18%, 14.20%, -1.72%, 1.79%
45, CHGG, Chegg Inc., Consumer Defensive, Education & Training Services, USA, 10.94B, 44.98, -, 15.38, 8.31, 53.63, 38.40%, 23.47%, 30.00%, -939.70%, 50.80%, -2.80%, -8.80%, 2.20%, 7.70, 7.70, 1.35, 1.43, 67.00%, -1.70%, -9.20%, -16.66%, -22.35%, 5.98%, 25.92%, -14.86%, 4.38%
47, CHSCM, CHS Inc., Consumer Defensive, Farm Products, USA, -, -, -, -, -, -, -, -, -, -, 26.10%, -, -, -, -, -, -, -, -, -, -, -1.82%, 2.12%, 0.29%, 10.27%, -1.61%, 0.89%
49, CHSCO, CHS Inc., Consumer Defensive, Farm Products, USA, -, -, -, -, -, -, -, -, -, -, 26.10%, -, -, -, -, -, -, -, -, -, -, 0.24%, 1.60%, -0.24%, 3.39%, -0.45%, 0.76%
51, CL, Colgate-Palmolive Company, Consumer Defensive, Household & Personal Products, USA, 70.80B, 23.87, 3.62, 4.23, 270.26, 48.59, 14.10%, 6.95%, 7.45%, -4.00%, 6.00%, 17.10%, 552.60%, 37.10%, 1.00, 0.60, 28.89, 29.90, 60.90%, 23.50%, 15.90%, 4.96%, 10.82%, -1.14%, 15.83%, -2.02%, 1.30%
53, CLX, The Clorox Company, Consumer Defensive, Household & Personal Products, USA, 21.95B, 22.87, 7.60, 2.92, 29.85, 29.23, 16.40%, 1.48%, 3.25%, -125.70%, -0.10%, 14.00%, 93.50%, 25.40%, 1.10, 0.70, 3.34, 3.75, 46.00%, 15.90%, 12.30%, -4.95%, -1.69%, -11.97%, -14.31%, -12.48%, 1.87%
55, COE, China Online Education Group, Consumer Defensive, Education & Training Services, China, 209.17M, 2.32, -, 0.62, -, -, 227.10%, 2238.46%, -, -84.40%, 23.30%, 5.00%, -11.90%, -12.50%, 0.50, 0.50, -, -, 72.50%, 3.00%, 4.80%, -53.23%, -57.98%, -61.53%, -59.15%, -60.97%, 8.46%
57, CORE, Core-Mark Holding Company Inc., Consumer Defensive, Food Distribution, USA, 2.03B, 19.16, 8.59, 0.12, 3.28, 19.04, 11.00%, 13.57%, 3.60%, 97.70%, -0.20%, 3.40%, 10.90%, 7.30%, 1.80, 0.80, 0.56, 0.61, 5.20%, 0.60%, 0.40%, 7.25%, 27.11%, 43.36%, 63.90%, 56.15%, 3.52%
59, COTY, Coty Inc., Consumer Defensive, Household & Personal Products, USA, 6.81B, 46.41, -, 1.65, 2.30, -, 72.10%, 140.00%, -5.90%, 99.60%, -3.30%, -5.60%, -28.30%, -7.30%, 0.70, 0.50, 2.10, 2.16, 57.10%, -23.50%, -21.00%, -12.48%, 10.41%, 22.73%, 145.45%, 26.92%, 4.62%
