Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
101, HL, Hecla Mining Company, Basic Materials, Gold, USA, 4.80B, 30.51, -, 6.27, 2.79, 43.99, 83.90%, 42.51%, -, 205.20%, 54.10%, 0.70%, 1.10%, 2.30%, 2.70, 1.90, 0.30, 0.30, 26.00%, 13.70%, 2.50%, 49.38%, 45.05%, 86.88%, 171.31%, 39.01%, 6.42%
103, HUDI, Huadi International Group Co. Ltd., Basic Materials, Steel, China, 65.59M, -, -, 1.11, -, 26.23, 23.20%, -, -, -80.20%, 0.60%, -, -, 7.30%, 1.10, 0.60, 0.00, 1.28, 18.00%, 7.50%, 5.60%, 3.45%, -10.21%, -, -, -28.47%, 8.48%
105, HWKN, Hawkins Inc., Basic Materials, Specialty Chemicals, USA, 716.80M, -, -, 1.20, 5.57, 30.63, 16.90%, -, -, 74.10%, 18.70%, 8.00%, 13.50%, 10.60%, 2.60, 1.50, 0.33, 0.37, 20.70%, 7.90%, 5.60%, 1.55%, 6.41%, 31.38%, 58.60%, 30.07%, 3.42%
107, IAG, IAMGOLD Corporation, Basic Materials, Gold, Canada, 1.70B, 11.79, 6.42, 1.35, 0.69, 3.61, 110.10%, 38.29%, 3.00%, 155.40%, 8.30%, 2.40%, 4.00%, 3.20%, 3.50, 2.70, 0.20, 0.21, 20.80%, 10.90%, 7.60%, 13.48%, 25.26%, 8.71%, -3.21%, -1.36%, 3.92%
109, IFF, International Flavors & Fragrances Inc., Basic Materials, Specialty Chemicals, USA, 35.56B, 21.38, 10.06, 5.73, 1.35, -, -20.60%, 14.95%, 7.72%, -118.20%, 83.00%, -, -, 4.60%, 1.90, 1.10, 0.52, 0.55, 36.70%, -, -, -1.71%, 1.81%, 26.04%, 6.37%, 30.16%, 1.96%
111, IKNX, IKONICS Corporation, Basic Materials, Specialty Chemicals, USA, 18.03M, -, -, 1.39, 1.61, -, 45.90%, -, -, 45.20%, -11.40%, -1.10%, -1.60%, -10.90%, 2.00, 1.50, 0.00, 0.23, 28.80%, -10.00%, -1.30%, -5.39%, -5.25%, 72.35%, 180.30%, -5.81%, 5.62%
113, IPI, Intrepid Potash Inc., Basic Materials, Agricultural Inputs, USA, 381.22M, 35.78, -, 1.87, 0.90, 10.80, -300.90%, -9.09%, -, 132.30%, 11.70%, -3.10%, -4.20%, -5.30%, 2.00, 1.00, 0.04, 0.06, 6.90%, -6.60%, -8.50%, -13.14%, -6.59%, 111.84%, 132.68%, 18.51%, 8.46%
115, ITRG, Integra Resources Corp., Basic Materials, Other Precious Metals & Mining, Canada, 175.90M, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 5.94%, 1.90%, -5.03%, 29.70%, -18.11%, 4.49%
117, JHX, James Hardie Industries plc, Basic Materials, Building Materials, Ireland, 14.51B, 21.51, 3.69, 4.99, 13.68, 21.45, 8.50%, 35.71%, 15.00%, 1455.60%, 19.90%, 6.30%, 22.90%, 16.20%, 1.00, 0.80, 0.81, 0.81, 36.20%, 15.80%, 9.00%, -3.88%, 10.36%, 14.31%, 94.21%, 12.69%, 1.75%
119, KGC, Kinross Gold Corporation, Basic Materials, Gold, Canada, 10.08B, 9.13, -, 2.33, 1.52, 10.38, 71.20%, 44.70%, -7.40%, 23.70%, 12.10%, 13.00%, 22.10%, 15.70%, 2.20, 1.10, 0.22, 0.30, 40.30%, 45.10%, 31.70%, 13.92%, 30.86%, 13.76%, 23.66%, 10.35%, 3.15%
122, KOR, Corvus Gold Inc., Basic Materials, Gold, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 50.24%, 70.88%, 34.05%, 26.94%, 30.67%, 5.45%
124, KRO, Kronos Worldwide Inc., Basic Materials, Specialty Chemicals, USA, 1.89B, 15.18, 1.18, 1.12, 2.34, 68.61, -26.50%, 18.23%, 28.12%, -27.30%, 10.50%, 2.90%, 7.10%, 7.90%, 4.70, 2.80, 0.58, 0.58, 21.30%, 6.30%, 3.40%, -7.04%, 8.77%, 15.18%, 66.39%, 8.92%, 3.15%
